,Fall,Major Name,College,Total,Male,Female,Illinois,Non-Illinois
6094,2012,Agr & Environmental Cmc & Educ,ACES,19,4,15,18,1
6301,2013,Agr & Environmental Cmc & Educ,ACES,11,2,9,11,0
6509,2014,Agr & Environmental Cmc & Educ,ACES,3,0,3,3,0
3273,1997,Agr Engineering & Agr Science,ACES,45,31,14,42,3
3477,1998,Agr Engineering & Agr Science,ACES,58,45,13,55,3
3680,1999,Agr Engineering & Agr Science,ACES,59,51,8,58,1
3877,2000,Agr Engineering & Agr Science,ACES,49,43,6,48,1
4064,2001,Agr Engineering & Agr Science,ACES,51,47,4,51,0
4246,2002,Agr Engineering & Agr Science,ACES,43,40,3,42,1
4429,2003,Agr Engineering & Agr Science,ACES,40,36,4,39,1
4610,2004,Agr Engineering & Agr Science,ACES,45,39,6,43,2
4782,2005,Agr Engineering & Agr Science,ACES,37,34,3,36,1
4953,2006,Agr Engineering & Agr Science,ACES,42,38,4,42,0
5129,2007,Agr Engineering & Agr Science,ACES,44,38,6,43,1
5308,2008,Agr Engineering & Agr Science,ACES,54,47,7,53,1
5491,2009,Agr Engineering & Agr Science,ACES,69,60,9,67,2
5688,2010,Agr Engineering & Agr Science,ACES,41,35,6,39,2
5888,2011,Agr Engineering & Agr Science,ACES,21,18,3,20,1
6095,2012,Agr Engineering & Agr Science,ACES,4,3,1,4,0
6510,2014,Agr Engineering & Agr Science,ACES,1,1,0,1,0
6716,2015,Agr Engineering & Agr Science,ACES,1,1,0,1,0
4611,2004,"Agribusiness, Farm & Financial ",ACES,98,65,37,96,3
4783,2005,"Agribusiness, Farm & Financial ",ACES,128,97,33,81,4
4954,2006,"Agribusiness, Farm & Financial ",ACES,77,58,19,76,4
5130,2007,"Agribusiness, Farm & Financial ",ACES,43,34,9,42,2
5309,2008,"Agribusiness, Farm & Financial ",ACES,13,6,4,4,1
5492,2009,"Agribusiness, Farm & Financial ",ACES,2,2,1,2,0
6096,2012,Agric Leadership & Sci Educ,ACES,25,8,11,20,5
6302,2013,Agric Leadership & Sci Educ,ACES,33,9,18,30,3
6511,2014,Agric Leadership & Sci Educ,ACES,29,9,17,27,2
6717,2015,Agric Leadership & Sci Educ,ACES,31,8,18,29,2
6924,2016,Agric Leadership & Sci Educ,ACES,43,14,29,42,1
7130,2017,Agric Leadership & Sci Educ,ACES,42,8,24,38,4
7343,2018,Agric Leadership & Sci Educ,ACES,28,9,19,28,1
4,1980,Agricultural & Applied Econ,ACES,242,60,26,27,5
189,1981,Agricultural & Applied Econ,ACES,275,54,41,28,45
375,1982,Agricultural & Applied Econ,ACES,317,51,46,314,47
564,1983,Agricultural & Applied Econ,ACES,339,72,56,333,6
759,1984,Agricultural & Applied Econ,ACES,350,68,57,7,66
955,1985,Agricultural & Applied Econ,ACES,352,66,55,7,58
1152,1986,Agricultural & Applied Econ,ACES,321,79,44,8,59
1346,1987,Agricultural & Applied Econ,ACES,301,73,41,4,6
1539,1988,Agricultural & Applied Econ,ACES,299,68,40,293,6
1733,1989,Agricultural & Applied Econ,ACES,341,57,64,338,58
1928,1990,Agricultural & Applied Econ,ACES,350,62,60,347,62
2123,1991,Agricultural & Applied Econ,ACES,346,72,67,337,9
2315,1992,Agricultural & Applied Econ,ACES,308,77,74,301,77
2504,1993,Agricultural & Applied Econ,ACES,334,86,80,325,9
2692,1994,Agricultural & Applied Econ,ACES,349,89,71,342,91
2887,1995,Agricultural & Applied Econ,ACES,347,77,77,341,90
3080,1996,Agricultural & Applied Econ,ACES,337,79,91,333,88
3274,1997,Agricultural & Applied Econ,ACES,139,76,31,30,77
3478,1998,Agricultural & Applied Econ,ACES,64,55,8,63,49
3681,1999,Agricultural & Applied Econ,ACES,38,25,13,9,29
3878,2000,Agricultural & Applied Econ,ACES,23,14,9,6,17
4065,2001,Agricultural & Applied Econ,ACES,6,3,3,1,5
4247,2002,Agricultural & Applied Econ,ACES,4,2,2,1,3
4430,2003,Agricultural & Applied Econ,ACES,1,1,0,0,1
5889,2011,Agricultural & Applied Econ,ACES,22,5,10,5,21
6097,2012,Agricultural & Applied Econ,ACES,28,14,17,9,26
6303,2013,Agricultural & Applied Econ,ACES,32,19,13,10,32
6512,2014,Agricultural & Applied Econ,ACES,39,23,16,14,39
6718,2015,Agricultural & Applied Econ,ACES,50,28,22,13,50
6925,2016,Agricultural & Applied Econ,ACES,56,31,8,10,56
7131,2017,Agricultural & Applied Econ,ACES,59,32,5,7,56
7344,2018,Agricultural & Applied Econ,ACES,63,35,28,7,60
5,1980,Agricultural Communications,ACES,78,31,47,77,1
190,1981,Agricultural Communications,ACES,72,21,51,71,1
376,1982,Agricultural Communications,ACES,86,30,56,86,0
565,1983,Agricultural Communications,ACES,84,26,58,83,1
760,1984,Agricultural Communications,ACES,78,27,51,77,1
956,1985,Agricultural Communications,ACES,77,25,52,77,0
1153,1986,Agricultural Communications,ACES,74,20,54,72,2
1347,1987,Agricultural Communications,ACES,70,20,50,68,2
1540,1988,Agricultural Communications,ACES,73,20,53,70,3
1734,1989,Agricultural Communications,ACES,78,22,56,74,4
1929,1990,Agricultural Communications,ACES,74,23,51,71,3
2124,1991,Agricultural Communications,ACES,79,25,54,79,0
2316,1992,Agricultural Communications,ACES,85,22,63,85,0
2505,1993,Agricultural Communications,ACES,77,21,56,76,1
2693,1994,Agricultural Communications,ACES,74,23,51,72,2
2888,1995,Agricultural Communications,ACES,88,36,52,86,2
3081,1996,Agricultural Communications,ACES,77,27,50,76,1
3275,1997,Agricultural Communications,ACES,46,14,32,45,1
3479,1998,Agricultural Communications,ACES,19,6,13,19,0
3682,1999,Agricultural Communications,ACES,7,2,5,7,0
4612,2004,Agricultural Economics,ACES,1,1,0,0,1
4784,2005,Agricultural Economics,ACES,1,1,0,0,1
6,1980,Agricultural Education,ACES,26,21,5,26,0
191,1981,Agricultural Education,ACES,20,17,3,20,0
377,1982,Agricultural Education,ACES,25,20,5,25,0
566,1983,Agricultural Education,ACES,26,23,3,26,0
761,1984,Agricultural Education,ACES,14,12,2,14,0
957,1985,Agricultural Education,ACES,15,13,2,14,1
1154,1986,Agricultural Education,ACES,15,14,1,15,0
1348,1987,Agricultural Education,ACES,13,12,1,13,0
1541,1988,Agricultural Education,ACES,14,10,4,14,0
1735,1989,Agricultural Education,ACES,10,6,4,10,0
1930,1990,Agricultural Education,ACES,10,5,5,10,0
2125,1991,Agricultural Education,ACES,14,6,8,13,1
2317,1992,Agricultural Education,ACES,12,8,4,11,1
2506,1993,Agricultural Education,ACES,16,8,8,16,0
2694,1994,Agricultural Education,ACES,20,12,8,20,0
2889,1995,Agricultural Education,ACES,19,10,9,18,1
3082,1996,Agricultural Education,ACES,37,18,19,36,1
3276,1997,Agricultural Education,ACES,12,4,8,12,0
3480,1998,Agricultural Education,ACES,2,0,2,2,0
4248,2002,Agricultural Education,ACES,2,0,2,2,0
4613,2004,Agricultural Education,ACES,10,0,10,10,0
4785,2005,Agricultural Education,ACES,7,1,6,5,2
4955,2006,Agricultural Education,ACES,3,2,1,2,1
5131,2007,Agricultural Education,ACES,3,1,2,3,0
5311,2008,Agricultural Education,ACES,1,1,0,1,0
5494,2009,Agricultural Education,ACES,2,0,2,1,1
5690,2010,Agricultural Education,ACES,6,2,4,4,2
5892,2011,Agricultural Education,ACES,8,1,7,7,1
6100,2012,Agricultural Education,ACES,5,1,4,5,0
6306,2013,Agricultural Education,ACES,7,1,6,7,0
6515,2014,Agricultural Education,ACES,5,1,4,3,2
6721,2015,Agricultural Education,ACES,10,4,6,6,4
6928,2016,Agricultural Education,ACES,11,4,7,2,1
7134,2017,Agricultural Education,ACES,26,6,6,8,6
7347,2018,Agricultural Education,ACES,22,8,8,18,4
5496,2009,Agricultural Production,ACES,5,2,3,5,0
5692,2010,Agricultural Production,ACES,7,3,4,7,0
5894,2011,Agricultural Production,ACES,8,4,4,6,2
6102,2012,Agricultural Production,ACES,8,4,4,5,3
6308,2013,Agricultural Production,ACES,6,2,4,5,1
6516,2014,Agricultural Production,ACES,7,2,5,4,3
6722,2015,Agricultural Production,ACES,8,2,6,3,5
6929,2016,Agricultural Production,ACES,16,3,13,8,8
7135,2017,Agricultural Production,ACES,14,2,12,9,5
7348,2018,Agricultural Production,ACES,6,1,5,4,2
8,1980,Agricultural Sciences,ACES,81,57,24,81,0
193,1981,Agricultural Sciences,ACES,75,52,23,72,3
379,1982,Agricultural Sciences,ACES,68,50,18,66,2
568,1983,Agricultural Sciences,ACES,77,50,27,77,0
763,1984,Agricultural Sciences,ACES,66,43,23,65,1
959,1985,Agricultural Sciences,ACES,61,36,25,60,1
1156,1986,Agricultural Sciences,ACES,58,40,18,54,4
1350,1987,Agricultural Sciences,ACES,51,35,16,49,2
1543,1988,Agricultural Sciences,ACES,44,31,13,42,2
1737,1989,Agricultural Sciences,ACES,31,22,9,30,1
1932,1990,Agricultural Sciences,ACES,37,21,16,35,2
2127,1991,Agricultural Sciences,ACES,43,25,18,39,4
2319,1992,Agricultural Sciences,ACES,38,21,17,36,2
2508,1993,Agricultural Sciences,ACES,38,18,20,36,2
2696,1994,Agricultural Sciences,ACES,36,20,16,33,3
2891,1995,Agricultural Sciences,ACES,40,23,17,36,4
3084,1996,Agricultural Sciences,ACES,39,23,16,36,3
3278,1997,Agricultural Sciences,ACES,15,11,4,14,1
3482,1998,Agricultural Sciences,ACES,10,7,3,10,0
3684,1999,Agricultural Sciences,ACES,2,1,1,2,0
6723,2015,Agriculture,ACES,1,1,0,1,0
9,1980,Agronomy,ACES,89,67,22,86,57
194,1981,Agronomy,ACES,113,84,29,26,62
380,1982,Agronomy,ACES,93,68,29,92,62
569,1983,Agronomy,ACES,89,65,26,77,64
764,1984,Agronomy,ACES,95,77,24,90,69
960,1985,Agronomy,ACES,100,77,23,89,71
1157,1986,Agronomy,ACES,93,69,24,79,61
1351,1987,Agronomy,ACES,101,76,25,62,68
1544,1988,Agronomy,ACES,87,65,7,50,56
1738,1989,Agronomy,ACES,84,62,4,38,52
1933,1990,Agronomy,ACES,82,65,7,40,47
2128,1991,Agronomy,ACES,90,71,19,41,55
2320,1992,Agronomy,ACES,81,63,18,41,48
2509,1993,Agronomy,ACES,74,52,22,57,50
2697,1994,Agronomy,ACES,80,54,26,67,49
2892,1995,Agronomy,ACES,85,56,29,84,52
3085,1996,Agronomy,ACES,79,56,23,79,44
3279,1997,Agronomy,ACES,69,48,21,39,37
3483,1998,Agronomy,ACES,39,28,4,16,25
3685,1999,Agronomy,ACES,20,2,7,9,11
3880,2000,Agronomy,ACES,9,5,4,2,7
4067,2001,Agronomy,ACES,3,1,2,0,3
11,1980,Animal Sciences,ACES,387,60,38,64,34
196,1981,Animal Sciences,ACES,405,58,32,58,5
382,1982,Animal Sciences,ACES,416,57,34,56,6
571,1983,Animal Sciences,ACES,381,61,31,49,9
766,1984,Animal Sciences,ACES,365,69,30,52,6
962,1985,Animal Sciences,ACES,335,71,35,62,5
1159,1986,Animal Sciences,ACES,284,77,30,62,45
1353,1987,Animal Sciences,ACES,266,78,36,60,6
1546,1988,Animal Sciences,ACES,260,78,39,54,8
1740,1989,Animal Sciences,ACES,279,73,37,44,66
1935,1990,Animal Sciences,ACES,299,71,35,39,67
2130,1991,Animal Sciences,ACES,299,70,38,40,68
2322,1992,Animal Sciences,ACES,328,64,39,40,63
2511,1993,Animal Sciences,ACES,341,62,36,47,51
2699,1994,Animal Sciences,ACES,364,73,39,60,52
2894,1995,Animal Sciences,ACES,419,72,33,57,9
3087,1996,Animal Sciences,ACES,440,74,292,51,50
3281,1997,Animal Sciences,ACES,304,95,8,49,45
3485,1998,Animal Sciences,ACES,261,68,32,56,8
3686,1999,Animal Sciences,ACES,190,9,55,71,7
3881,2000,Animal Sciences,ACES,253,7,94,9,5
4068,2001,Animal Sciences,ACES,301,8,9,87,6
4250,2002,Animal Sciences,ACES,329,8,93,60,8
4432,2003,Animal Sciences,ACES,331,9,85,93,7
4615,2004,Animal Sciences,ACES,351,9,88,39,24
4787,2005,Animal Sciences,ACES,342,84,98,39,25
4958,2006,Animal Sciences,ACES,354,92,98,35,7
5133,2007,Animal Sciences,ACES,378,88,92,371,7
5313,2008,Animal Sciences,ACES,395,75,82,92,9
5497,2009,Animal Sciences,ACES,373,8,9,366,7
5693,2010,Animal Sciences,ACES,207,6,9,7,6
5895,2011,Animal Sciences,ACES,232,6,89,99,32
6103,2012,Animal Sciences,ACES,361,61,75,83,5
6310,2013,Animal Sciences,ACES,437,9,63,70,34
6517,2014,Animal Sciences,ACES,421,8,66,69,5
6724,2015,Animal Sciences,ACES,409,8,62,8,5
6930,2016,Animal Sciences,ACES,415,9,61,66,52
7136,2017,Animal Sciences,ACES,405,8,62,61,6
7349,2018,Animal Sciences,ACES,432,76,57,7,7
13,1980,Application Design,ACES,11,0,11,11,0
198,1981,Application Design,ACES,7,0,7,7,0
384,1982,Application Design,ACES,12,0,12,11,1
573,1983,Application Design,ACES,18,0,18,17,1
768,1984,Application Design,ACES,18,1,17,16,2
964,1985,Application Design,ACES,18,1,17,15,3
1161,1986,Application Design,ACES,9,0,9,9,0
1355,1987,Application Design,ACES,6,0,6,6,0
5513,2009,Bioenergy,ACES,6,6,0,2,4
5709,2010,Bioenergy,ACES,12,10,2,6,6
5911,2011,Bioenergy,ACES,12,10,2,9,3
6119,2012,Bioenergy,ACES,9,7,2,6,3
6325,2013,Bioenergy,ACES,10,7,3,3,7
6531,2014,Bioenergy,ACES,16,14,2,4,12
6737,2015,Bioenergy,ACES,19,12,7,6,13
6943,2016,Bioenergy,ACES,11,6,5,3,8
7150,2017,Bioenergy,ACES,2,2,0,0,2
7157,2017,Bioprocessing and Bioenergy,ACES,4,3,1,2,2
7368,2018,Bioprocessing and Bioenergy,ACES,10,6,4,1,9
3300,1997,CFTM-CNSMR&TXTL,ACES,67,4,63,64,3
3505,1998,CFTM-CNSMR&TXTL,ACES,77,9,68,74,3
3706,1999,CFTM-CNSMR&TXTL,ACES,84,13,71,83,1
3902,2000,CFTM-CNSMR&TXTL,ACES,110,12,98,108,2
4088,2001,CFTM-CNSMR&TXTL,ACES,116,17,99,113,3
4271,2002,CFTM-CNSMR&TXTL,ACES,53,2,51,52,1
4453,2003,CFTM-CNSMR&TXTL,ACES,15,1,14,15,0
3301,1997,CFTM-MKT&PRICE,ACES,12,10,2,12,0
3506,1998,CFTM-MKT&PRICE,ACES,24,19,5,24,0
3707,1999,CFTM-MKT&PRICE,ACES,30,24,6,30,0
3903,2000,CFTM-MKT&PRICE,ACES,27,17,10,26,1
4089,2001,CFTM-MKT&PRICE,ACES,13,6,7,13,0
4272,2002,CFTM-MKT&PRICE,ACES,3,2,1,3,0
4090,2001,"CMDTY,FD,TXTL M",ACES,15,3,12,15,0
4273,2002,"CMDTY,FD,TXTL M",ACES,79,9,70,74,5
402,1982,CONSM ECON,ACES,2,1,1,2,0
591,1983,CONSM ECON,ACES,14,2,12,14,0
786,1984,CONSM ECON,ACES,21,4,17,21,0
984,1985,CONSM ECON,ACES,30,8,22,30,0
1180,1986,CONSM ECON,ACES,36,13,23,35,1
1375,1987,CONSM ECON,ACES,40,12,28,38,2
1568,1988,CONSM ECON,ACES,44,11,33,43,1
1762,1989,CONSM ECON,ACES,46,13,33,45,1
1956,1990,CONSM ECON,ACES,57,21,36,57,0
2151,1991,CONSM ECON,ACES,76,31,45,75,1
2342,1992,CONSM ECON,ACES,47,20,27,47,0
2532,1993,CONSM ECON,ACES,46,12,34,46,0
2721,1994,CONSM ECON,ACES,38,14,24,38,0
2916,1995,CONSM ECON,ACES,33,18,15,32,1
3107,1996,CONSM ECON,ACES,35,20,15,34,1
3302,1997,CONSM ECON,ACES,6,2,4,6,0
3507,1998,CONSM ECON,ACES,3,0,3,3,0
30,1980,CORE CURR,ACES,158,124,34,157,1
216,1981,CORE CURR,ACES,155,112,43,151,4
403,1982,CORE CURR,ACES,115,76,39,114,1
592,1983,CORE CURR,ACES,103,73,30,100,3
787,1984,CORE CURR,ACES,115,80,35,112,3
985,1985,CORE CURR,ACES,82,55,27,81,1
1181,1986,CORE CURR,ACES,71,54,17,70,1
1376,1987,CORE CURR,ACES,70,47,23,70,0
1569,1988,CORE CURR,ACES,52,34,18,51,1
1763,1989,CORE CURR,ACES,57,36,21,56,1
1957,1990,CORE CURR,ACES,59,38,21,58,1
2152,1991,CORE CURR,ACES,64,45,19,61,3
2343,1992,CORE CURR,ACES,67,50,17,66,1
2533,1993,CORE CURR,ACES,54,37,17,54,0
2722,1994,CORE CURR,ACES,43,34,9,42,1
2917,1995,CORE CURR,ACES,45,29,16,42,3
3108,1996,CORE CURR,ACES,32,18,14,31,1
3303,1997,CORE CURR,ACES,9,6,3,9,0
4455,2003,CTM-CNSMR&TXTL,ACES,119,10,109,111,8
7392,2018,Computer Science&Crop Sciences,ACES,4,4,0,0,4
4648,2004,Consumer and Textile Marketing,ACES,98,3,95,94,4
4819,2005,Consumer and Textile Marketing,ACES,54,2,52,52,2
4992,2006,Consumer and Textile Marketing,ACES,31,1,30,30,1
5168,2007,Consumer and Textile Marketing,ACES,9,1,8,9,0
3316,1997,Crop Sciences,ACES,22,8,6,8,0
3520,1998,Crop Sciences,ACES,31,8,9,9,5
3720,1999,Crop Sciences,ACES,40,7,9,5,14
3916,2000,Crop Sciences,ACES,52,5,8,36,20
4103,2001,Crop Sciences,ACES,61,4,5,7,31
4287,2002,Crop Sciences,ACES,72,9,35,4,40
4469,2003,Crop Sciences,ACES,64,39,3,4,37
4651,2004,Crop Sciences,ACES,36,27,3,8,4
4822,2005,Crop Sciences,ACES,31,4,8,5,4
4995,2006,Crop Sciences,ACES,32,23,9,5,5
5171,2007,Crop Sciences,ACES,32,6,5,6,3
5351,2008,Crop Sciences,ACES,37,4,5,8,25
5538,2009,Crop Sciences,ACES,42,5,9,9,25
5735,2010,Crop Sciences,ACES,48,36,8,5,35
5937,2011,Crop Sciences,ACES,56,40,9,38,4
6144,2012,Crop Sciences,ACES,64,47,6,42,5
6351,2013,Crop Sciences,ACES,61,5,5,6,39
6560,2014,Crop Sciences,ACES,68,49,8,55,50
6768,2015,Crop Sciences,ACES,62,4,3,5,6
6974,2016,Crop Sciences,ACES,60,5,8,5,7
7182,2017,Crop Sciences,ACES,53,30,9,6,9
7395,2018,Crop Sciences,ACES,51,4,9,6,9
43,1980,DAIRY SCI,ACES,30,23,7,8,22
229,1981,DAIRY SCI,ACES,34,27,7,32,20
416,1982,DAIRY SCI,ACES,37,29,8,30,23
608,1983,DAIRY SCI,ACES,34,24,11,32,23
803,1984,DAIRY SCI,ACES,34,26,7,34,21
1001,1985,DAIRY SCI,ACES,33,24,9,19,19
1197,1986,DAIRY SCI,ACES,30,22,8,15,18
1392,1987,DAIRY SCI,ACES,20,9,6,9,11
1585,1988,DAIRY SCI,ACES,11,9,2,5,6
1779,1989,DAIRY SCI,ACES,5,4,1,3,2
1973,1990,DAIRY SCI,ACES,3,2,1,2,1
44,1980,DIETETICS,ACES,32,0,32,31,1
230,1981,DIETETICS,ACES,34,1,33,32,2
417,1982,DIETETICS,ACES,46,0,46,44,2
609,1983,DIETETICS,ACES,69,1,68,67,2
804,1984,DIETETICS,ACES,69,4,65,66,3
1002,1985,DIETETICS,ACES,70,2,68,66,4
1198,1986,DIETETICS,ACES,81,4,77,80,1
1393,1987,DIETETICS,ACES,65,2,63,64,1
1586,1988,DIETETICS,ACES,59,2,57,58,1
1780,1989,DIETETICS,ACES,55,3,52,54,1
1974,1990,DIETETICS,ACES,52,3,49,51,1
2168,1991,DIETETICS,ACES,42,3,39,39,3
2359,1992,DIETETICS,ACES,50,0,50,46,4
2548,1993,DIETETICS,ACES,66,1,65,62,4
2737,1994,DIETETICS,ACES,80,3,77,74,6
2931,1995,DIETETICS,ACES,72,2,70,64,8
3121,1996,DIETETICS,ACES,91,2,89,86,5
3317,1997,DIETETICS,ACES,45,1,44,43,2
3521,1998,DIETETICS,ACES,10,1,9,10,0
3721,1999,DIETETICS,ACES,1,0,1,1,0
55,1980,EXT EDUC,ACES,13,5,8,11,2
241,1981,EXT EDUC,ACES,14,5,9,12,2
428,1982,EXT EDUC,ACES,12,2,10,10,2
620,1983,EXT EDUC,ACES,12,6,6,10,2
815,1984,EXT EDUC,ACES,14,8,6,9,5
1012,1985,EXT EDUC,ACES,13,7,6,11,2
1208,1986,EXT EDUC,ACES,17,8,9,12,5
1403,1987,EXT EDUC,ACES,9,7,2,6,3
1596,1988,EXT EDUC,ACES,13,7,6,9,4
1790,1989,EXT EDUC,ACES,11,5,6,8,3
1984,1990,EXT EDUC,ACES,10,7,3,4,6
2178,1991,EXT EDUC,ACES,11,6,5,5,6
2369,1992,EXT EDUC,ACES,12,4,8,6,6
2558,1993,EXT EDUC,ACES,8,2,6,4,4
2747,1994,EXT EDUC,ACES,5,1,4,4,1
2941,1995,EXT EDUC,ACES,6,0,6,5,1
3131,1996,EXT EDUC,ACES,3,0,3,2,1
65,1980,FAM&CON EC,ACES,20,0,20,13,7
251,1981,FAM&CON EC,ACES,13,0,13,10,3
438,1982,FAM&CON EC,ACES,9,0,9,6,3
630,1983,FAM&CON EC,ACES,6,0,6,5,1
825,1984,FAM&CON EC,ACES,15,3,12,7,8
1022,1985,FAM&CON EC,ACES,15,6,9,5,10
1218,1986,FAM&CON EC,ACES,16,7,9,5,11
1413,1987,FAM&CON EC,ACES,17,5,12,6,11
1606,1988,FAM&CON EC,ACES,18,6,12,6,12
1800,1989,FAM&CON EC,ACES,20,5,15,7,13
1994,1990,FAM&CON EC,ACES,18,3,15,4,14
2189,1991,FAM&CON EC,ACES,16,3,13,4,12
2379,1992,FAM&CON EC,ACES,13,4,9,4,9
2568,1993,FAM&CON EC,ACES,8,3,5,2,6
2757,1994,FAM&CON EC,ACES,7,2,5,1,6
2951,1995,FAM&CON EC,ACES,6,3,3,1,5
3141,1996,FAM&CON EC,ACES,7,3,4,1,6
3337,1997,FAM&CON EC,ACES,7,2,5,1,6
67,1980,Food Science & Human Nutrition,ACES,63,41,35,50,9
253,1981,Food Science & Human Nutrition,ACES,66,5,5,50,5
440,1982,Food Science & Human Nutrition,ACES,68,7,6,9,5
632,1983,Food Science & Human Nutrition,ACES,74,9,44,46,7
827,1984,Food Science & Human Nutrition,ACES,69,9,35,36,8
1024,1985,Food Science & Human Nutrition,ACES,62,8,32,36,9
1220,1986,Food Science & Human Nutrition,ACES,58,4,5,48,41
1415,1987,Food Science & Human Nutrition,ACES,67,9,9,9,54
1608,1988,Food Science & Human Nutrition,ACES,64,6,6,7,47
1802,1989,Food Science & Human Nutrition,ACES,58,8,50,8,41
1996,1990,Food Science & Human Nutrition,ACES,62,6,33,7,9
2191,1991,Food Science & Human Nutrition,ACES,60,5,5,8,43
2381,1992,Food Science & Human Nutrition,ACES,74,4,5,7,58
2570,1993,Food Science & Human Nutrition,ACES,81,4,5,9,8
2759,1994,Food Science & Human Nutrition,ACES,76,8,6,9,9
2953,1995,Food Science & Human Nutrition,ACES,58,6,4,6,8
3143,1996,Food Science & Human Nutrition,ACES,52,8,7,48,7
3339,1997,Food Science & Human Nutrition,ACES,55,7,53,7,5
3542,1998,Food Science & Human Nutrition,ACES,108,6,7,8,6
3743,1999,Food Science & Human Nutrition,ACES,105,9,45,73,5
3939,2000,Food Science & Human Nutrition,ACES,101,7,97,98,6
4126,2001,Food Science & Human Nutrition,ACES,92,5,77,89,4
4310,2002,Food Science & Human Nutrition,ACES,102,8,93,93,30
4492,2003,Food Science & Human Nutrition,ACES,97,6,86,94,5
4673,2004,Food Science & Human Nutrition,ACES,99,8,96,93,7
4843,2005,Food Science & Human Nutrition,ACES,107,8,70,86,7
5017,2006,Food Science & Human Nutrition,ACES,98,4,92,94,7
5192,2007,Food Science & Human Nutrition,ACES,91,4,84,90,5
5373,2008,Food Science & Human Nutrition,ACES,89,7,68,83,7
5560,2009,Food Science & Human Nutrition,ACES,99,9,84,92,7
